tick,week,day,hour
0,0,0,0
1,0,0,1
2,0,0,2
3,0,0,3
4,0,0,4
5,0,0,5
6,0,0,6
7,0,0,7
8,0,0,8
9,0,0,9
10,0,0,10
11,0,0,11
12,0,0,12
13,0,0,13
14,0,0,14
15,0,0,15
16,0,0,16
17,0,0,17
18,0,0,18
19,0,0,19
20,0,0,20
21,0,0,21
22,0,0,22
23,0,0,23
24,0,1,0
25,0,1,1
26,0,1,2
27,0,1,3
28,0,1,4
29,0,1,5
30,0,1,6
31,0,1,7
32,0,1,8
33,0,1,9
34,0,1,10
35,0,1,11
36,0,1,12
37,0,1,13
38,0,1,14
39,0,1,15
40,0,1,16
41,0,1,17
42,0,1,18
43,0,1,19
44,0,1,20
45,0,1,21
46,0,1,22
47,0,1,23
48,0,2,0
49,0,2,1
50,0,2,2
51,0,2,3
52,0,2,4
53,0,2,5
54,0,2,6
55,0,2,7
56,0,2,8
57,0,2,9
58,0,2,10
59,0,2,11
60,0,2,12
61,0,2,13
62,0,2,14
63,0,2,15
64,0,2,16
65,0,2,17
66,0,2,18
67,0,2,19
68,0,2,20
69,0,2,21
70,0,2,22
71,0,2,23
72,0,3,0
73,0,3,1
74,0,3,2
75,0,3,3
76,0,3,4
77,0,3,5
78,0,3,6
79,0,3,7
80,0,3,8
81,0,3,9
82,0,3,10
83,0,3,11
84,0,3,12
85,0,3,13
86,0,3,14
87,0,3,15
88,0,3,16
89,0,3,17
90,0,3,18
91,0,3,19
92,0,3,20
93,0,3,21
94,0,3,22
95,0,3,23
96,0,4,0
97,0,4,1
98,0,4,2
99,0,4,3
100,0,4,4
101,0,4,5
102,0,4,6
103,0,4,7
104,0,4,8
105,0,4,9
106,0,4,10
107,0,4,11
108,0,4,12
109,0,4,13
110,0,4,14
111,0,4,15
112,0,4,16
113,0,4,17
114,0,4,18
115,0,4,19
116,0,4,20
117,0,4,21
118,0,4,22
119,0,4,23
120,0,5,0
121,0,5,1
122,0,5,2
123,0,5,3
124,0,5,4
125,0,5,5
126,0,5,6
127,0,5,7
128,0,5,8
129,0,5,9
130,0,5,10
131,0,5,11
132,0,5,12
133,0,5,13
134,0,5,14
135,0,5,15
136,0,5,16
137,0,5,17
138,0,5,18
139,0,5,19
140,0,5,20
141,0,5,21
142,0,5,22
143,0,5,23
144,0,6,0
145,0,6,1
146,0,6,2
147,0,6,3
148,0,6,4
149,0,6,5
150,0,6,6
151,0,6,7
152,0,6,8
153,0,6,9
154,0,6,10
155,0,6,11
156,0,6,12
157,0,6,13
158,0,6,14
159,0,6,15
160,0,6,16
161,0,6,17
162,0,6,18
163,0,6,19
164,0,6,20
165,0,6,21
166,0,6,22
167,0,6,23
168,1,0,0
169,1,0,1
170,1,0,2
171,1,0,3
172,1,0,4
173,1,0,5
174,1,0,6
175,1,0,7
176,1,0,8
177,1,0,9
178,1,0,10
179,1,0,11
180,1,0,12
181,1,0,13
182,1,0,14
183,1,0,15
184,1,0,16
185,1,0,17
186,1,0,18
187,1,0,19
188,1,0,20
189,1,0,21
190,1,0,22
191,1,0,23
192,1,1,0
193,1,1,1
194,1,1,2
195,1,1,3
196,1,1,4
197,1,1,5
198,1,1,6
199,1,1,7
200,1,1,8
201,1,1,9
202,1,1,10
203,1,1,11
204,1,1,12
205,1,1,13
206,1,1,14
207,1,1,15
208,1,1,16
209,1,1,17
210,1,1,18
211,1,1,19
212,1,1,20
213,1,1,21
214,1,1,22
215,1,1,23
216,1,2,0
217,1,2,1
218,1,2,2
219,1,2,3
220,1,2,4
221,1,2,5
222,1,2,6
223,1,2,7
224,1,2,8
225,1,2,9
226,1,2,10
227,1,2,11
228,1,2,12
229,1,2,13
230,1,2,14
231,1,2,15
232,1,2,16
233,1,2,17
234,1,2,18
235,1,2,19
236,1,2,20
237,1,2,21
238,1,2,22
