week,agent_id,status,goal,current_subgoal,blockers,skill,motivation,confidence,money_pressure,transportation_pressure,family_pressure,mentor_contact,employer_contact,training_started,x,y
0,resident_001,aware,get_employed,enroll,"[""program_friction""]",56.73,79.81,41.48,0.481,0.486,0.496,True,False,,220,120
0,resident_002,aware,get_employed,enroll,"[""program_friction""]",75.39,69.91,35.86,0.466,0.336,0.526,False,False,,232,120
0,resident_003,aware,get_employed,enroll,"[""program_friction""]",79.61,82.77,54.53,0.338,0.575,0.51,False,False,,244,120
0,resident_004,aware,get_employed,enroll,"[""program_friction""]",71.91,49.79,58.06,0.498,0.536,0.399,False,False,,256,120
0,resident_005,aware,get_employed,enroll,"[""program_friction""]",77.8,73.76,51.96,0.274,0.181,0.571,False,False,,268,120
0,resident_006,aware,get_employed,enroll,"[""program_friction""]",92.76,59.81,74.99,0.511,0.202,0.528,False,False,,280,120
0,resident_007,aware,get_employed,enroll,"[""program_friction""]",81.3,91.64,65.57,0.297,0.461,0.493,False,False,,292,120
0,resident_008,aware,get_employed,enroll,"[""program_friction""]",95.45,61.56,58.8,0.601,0.233,0.524,True,False,,304,120
0,resident_009,aware,get_employed,enroll,"[""program_friction""]",90.14,47.5,61.61,0.434,0.243,0.402,False,False,,220,134
0,resident_010,aware,get_employed,enroll,"[""program_friction""]",98.61,72.6,40.1,0.497,0.54,0.578,False,False,,232,134
0,resident_011,aware,get_employed,enroll,"[""program_friction""]",87.18,47.07,78.49,0.551,0.192,0.164,False,False,,244,134
0,resident_012,aware,get_employed,enroll,"[""program_friction""]",58.88,78.24,41.93,0.654,0.204,0.368,False,False,,256,134
0,resident_013,unaware,get_employed,become_aware,"[""low_awareness""]",74.94,46.9,35.11,0.702,0.638,0.162,False,False,,118,154
0,resident_014,unaware,get_employed,become_aware,"[""low_awareness""]",88.06,94.46,75.67,0.693,0.319,0.459,False,False,,130,154
0,resident_015,unaware,get_employed,become_aware,"[""low_awareness""]",77.42,91.87,66.64,0.672,0.579,0.293,True,False,,142,154
0,resident_016,unaware,get_employed,become_aware,"[""low_awareness""]",87.06,49.65,44.27,0.718,0.352,0.443,False,False,,154,154
0,resident_017,unaware,get_employed,become_aware,"[""low_awareness""]",80.9,58.02,61.38,0.706,0.314,0.273,False,False,,70,168
0,resident_018,unaware,get_employed,become_aware,"[""low_awareness""]",63.36,53.89,72.23,0.603,0.632,0.435,False,False,,82,168
0,resident_019,unaware,get_employed,become_aware,"[""low_awareness""]",98.15,56.1,43.45,0.358,0.342,0.595,False,False,,94,168
0,resident_020,unaware,get_employed,become_aware,"[""low_awareness""]",65.12,67.92,37.75,0.264,0.423,0.407,False,False,,106,168
0,resident_021,unaware,get_employed,become_aware,"[""low_awareness""]",77.99,90.73,73.74,0.726,0.439,0.232,False,False,,118,168
0,resident_022,unaware,get_employed,become_aware,"[""low_awareness""]",60.85,83.21,41.96,0.253,0.5,0.162,True,False,,130,168
0,resident_023,unaware,get_employed,become_aware,"[""low_awareness""]",83.01,55.05,54.13,0.257,0.338,0.264,False,False,,142,168
0,resident_024,unaware,get_employed,become_aware,"[""low_awareness""]",66.75,51.69,60.9,0.596,0.25,0.122,False,False,,154,168
0,resident_025,unaware,get_employed,become_aware,"[""low_awareness""]",67.07,79.97,47.3,0.574,0.187,0.452,False,False,,70,182
0,resident_026,unaware,get_employed,become_aware,"[""low_awareness""]",61.4,56.16,67.83,0.488,0.47,0.243,False,False,,82,182
0,resident_027,unaware,get_employed,become_aware,"[""low_awareness""]",85.08,59.95,56.64,0.472,0.606,0.476,False,False,,94,182
0,resident_028,unaware,get_employed,become_aware,"[""low_awareness""]",79.68,87.27,62.45,0.612,0.409,0.388,False,False,,106,182
0,resident_029,unaware,get_employed,become_aware,"[""low_awareness""]",64.62,91.54,63.77,0.66,0.453,0.112,True,False,,118,182
0,resident_030,unaware,get_employed,become_aware,"[""low_awareness""]",59.87,89.09,66.48,0.702,0.597,0.216,False,False,,130,182
0,resident_031,unaware,get_employed,become_aware,"[""low_awareness""]",99.33,75.53,67.85,0.508,0.278,0.343,False,False,,142,182
0,resident_032,unaware,get_employed,become_aware,"[""low_awareness""]",75.79,59.86,50.38,0.471,0.283,0.17,False,False,,154,182
0,resident_033,unaware,get_employed,become_aware,"[""low_awareness""]",91.2,62.91,51.42,0.642,0.499,0.324,False,False,,70,196
0,resident_034,unaware,get_employed,become_aware,"[""low_awareness""]",68.93,84.8,45.65,0.482,0.337,0.597,False,False,,82,196
0,resident_035,unaware,get_employed,become_aware,"[""low_awareness""]",65.8,74.67,58.72,0.274,0.241,0.543,False,False,,94,196
0,resident_036,unaware,get_employed,become_aware,"[""low_awareness""]",90.49,55.68,43.04,0.719,0.444,0.458,True,False,,106,196
0,resident_037,unaware,get_employed,become_aware,"[""low_awareness""]",95.82,58.05,57.49,0.707,0.243,0.227,False,False,,118,196
0,resident_038,unaware,get_employed,become_aware,"[""low_awareness""]",94.67,87.08,58.19,0.317,0.567,0.254,False,False,,130,196
0,resident_039,unaware,get_employed,become_aware,"[""low_awareness""]",89.08,57.74,41.93,0.597,0.347,0.288,False,False,,142,196
0,resident_040,unaware,get_employed,become_aware,"[""low_awareness""]",74.77,67.96,56.19,0.574,0.203,0.438,False,False,,154,196
0,resident_041,unaware,get_employed,become_aware,"[""low_awareness""]",76.9,85.92,47.93,0.583,0.253,0.45,False,False,,70,210
0,resident_042,unaware,get_employed,become_aware,"[""low_awareness""]",85.64,72.19,56.58,0.725,0.329,0.141,False,False,,82,210
0,resident_043,unaware,get_employed,become_aware,"[""low_awareness""]",69.9,47.15,75.1,0.668,0.243,0.414,True,False,,94,210
0,resident_044,unaware,get_employed,become_aware,"[""low_awareness""]",64.23,87.75,53.65,0.28,0.467,0.142,False,False,,106,210
