week,unaware,aware,training,trained,employed,budgetRemaining,jobsRemaining
0,228,12,0,0,0,600000,90
1,202,26,12,0,0,554924,90
2,173,37,30,0,0,488848,90
3,155,49,36,0,0,464772,90
4,131,61,36,9,3,419696,87
5,114,62,36,20,8,353620,82
6,101,69,36,22,12,329544,78
7,97,61,36,28,18,284468,72
8,86,56,35,29,34,221892,56
9,73,62,36,27,42,194316,48
10,62,63,36,31,48,149240,42
11,55,53,36,37,59,86664,31
12,48,53,36,35,68,59088,22
13,44,46,36,37,77,14012,13
14,36,53,22,42,87,436,3
15,28,61,15,46,90,0,0
16,28,61,3,58,90,0,0
