week,unaware,aware,training,trained,employed,budgetRemaining,jobsRemaining
0,192,12,0,0,36,600000,160
1,169,24,11,0,36,558424,160
2,145,32,27,0,36,499348,160
3,123,37,44,0,36,436772,160
4,109,41,43,8,39,398696,157
5,93,39,45,21,42,332620,154
6,80,41,40,32,47,287544,149
7,68,43,40,28,61,249468,135
8,59,38,37,32,74,193892,122
9,56,31,35,37,81,155816,115
10,51,31,32,35,91,128240,105
11,45,25,29,41,100,83164,96
12,39,24,26,39,112,55588,84
13,31,18,33,33,125,3512,71
14,26,24,21,34,135,436,61
15,21,29,14,31,145,0,51
16,21,29,0,34,156,0,40
