week,unaware,aware,training,trained,employed,budgetRemaining,jobsRemaining
0,192,12,0,0,36,600000,90
1,148,37,19,0,36,529848,90
2,119,49,36,0,36,466696,90
3,87,81,36,0,36,463044,90
4,63,86,36,15,40,392892,86
5,46,87,36,26,45,329740,81
6,32,101,36,22,49,326088,77
7,24,90,36,28,62,255936,64
8,18,79,36,32,75,192784,51
9,11,86,36,27,80,189132,46
10,9,69,36,38,88,118980,38
11,7,55,36,41,101,55828,25
12,6,56,36,33,109,52176,17
13,3,46,30,41,120,3024,6
14,1,49,13,51,126,0,0
15,1,49,13,51,126,0,0
16,1,51,0,62,126,0,0
