week,unaware,aware,training,trained,employed,budgetRemaining,jobsRemaining
0,192,12,0,0,36,600000,90
1,169,24,11,0,36,558424,90
2,145,32,27,0,36,499348,90
3,123,37,44,0,36,436772,90
4,109,41,43,8,39,398696,87
5,93,39,45,21,42,332620,84
6,80,41,40,32,47,287544,79
7,68,43,40,28,61,249468,65
8,59,38,37,32,74,193892,52
9,56,31,35,37,81,155816,45
10,51,31,32,35,91,128240,35
11,45,25,29,41,100,83164,26
12,39,24,26,39,112,55588,14
13,31,18,33,33,125,3512,1
14,26,24,21,43,126,436,0
15,21,29,14,50,126,0,0
16,21,29,0,64,126,0,0
