week,agent_id,status,archetype,skill_track,neighborhood,home_x,home_y,dest_x,dest_y,energy,money,stress,skill_level,social_capital,money_pressure,days_broke,in_survival_mode,training_sessions_completed,applications_submitted,applications_rejected,mentor_id,event_this_week,schedule_json
0,innkeeper,employed,employer,commerce,north_quarter,11800,7600,12000,8000,80.0,50.0,15.0,65.0,40.0,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":0,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.298},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":1,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.298},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":2,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.298},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":3,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.298},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":4,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.298},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true}]"
0,blacksmith,employed,employer,commerce,north_quarter,12400,7800,12600,7600,80.0,50.0,15.0,65.0,40.0,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":0,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12600,""destination_y"":7600,""commute_hours"":0.189},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":1,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12600,""destination_y"":7600,""commute_hours"":0.189},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":2,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12600,""destination_y"":7600,""commute_hours"":0.189},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":3,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12600,""destination_y"":7600,""commute_hours"":0.189},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":4,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12600,""destination_y"":7600,""commute_hours"":0.189},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true}]"
0,hunter_1,employed,employer,commerce,north_quarter,14200,9800,14500,9500,80.0,50.0,15.0,65.0,40.0,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":0,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":0.283},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":1,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":0.283},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":2,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":0.283},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":3,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":0.283},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":4,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":0.283},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true}]"
0,hunter_2,employed,employer,commerce,north_quarter,15000,7200,14500,9500,80.0,50.0,15.0,65.0,40.0,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":0,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":1.569},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":1,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":1.569},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":2,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":1.569},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":3,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":1.569},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":4,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14500,""destination_y"":9500,""commute_hours"":1.569},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true}]"
0,merchant_1,employed,employer,commerce,north_quarter,11600,8600,12000,8000,80.0,50.0,15.0,65.0,40.0,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":0,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":1,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":2,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":3,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":4,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true}]"
0,merchant_2,employed,employer,commerce,north_quarter,12600,8400,12000,8000,80.0,50.0,15.0,65.0,40.0,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":0,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":1,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":2,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":3,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":4,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":0.481},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true}]"
0,guard_1,employed,employer,commerce,north_quarter,11400,7200,14000,6500,80.0,50.0,15.0,65.0,40.0,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":0,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.795},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":1,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.795},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":2,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.795},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":3,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.795},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":4,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.795},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true}]"
0,guard_2,employed,employer,commerce,north_quarter,12800,7800,14000,6500,80.0,50.0,15.0,65.0,40.0,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":0,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.179},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":1,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.179},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":2,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.179},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":3,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.179},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":4,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":14000,""destination_y"":6500,""commute_hours"":1.179},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true}]"
0,herbalist,employed,employer,commerce,north_quarter,9500,10000,10000,9500,80.0,50.0,15.0,65.0,40.0,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":0,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":10000,""destination_y"":9500,""commute_hours"":0.471},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":1,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":10000,""destination_y"":9500,""commute_hours"":0.471},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":2,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":10000,""destination_y"":9500,""commute_hours"":0.471},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":3,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":10000,""destination_y"":9500,""commute_hours"":0.471},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":4,""kind"":""work"",""start"":7.0,""end"":17.0,""at_home"":false,""destination_x"":10000,""destination_y"":9500,""commute_hours"":0.471},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.0,""at_home"":true}]"
0,stu_001,aware,student,crafting,north_quarter,12533,6456,12600,7600,100.0,33.64,0.0,0.0,9.05,0.0,0,False,0,0,0,,,"[{""day"":0,""kind"":""sleep"",""start"":0.0,""end"":6.5,""at_home"":true},{""day"":0,""kind"":""social"",""start"":9.0,""end"":14.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":1.089},{""day"":0,""kind"":""rest"",""start"":16.0,""end"":22.0,""at_home"":true},{""day"":1,""kind"":""sleep"",""start"":0.0,""end"":6.5,""at_home"":true},{""day"":1,""kind"":""social"",""start"":9.0,""end"":14.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":1.089},{""day"":1,""kind"":""rest"",""start"":16.0,""end"":22.0,""at_home"":true},{""day"":2,""kind"":""sleep"",""start"":0.0,""end"":6.5,""at_home"":true},{""day"":2,""kind"":""social"",""start"":9.0,""end"":14.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":1.089},{""day"":2,""kind"":""rest"",""start"":16.0,""end"":22.0,""at_home"":true},{""day"":3,""kind"":""sleep"",""start"":0.0,""end"":6.5,""at_home"":true},{""day"":3,""kind"":""social"",""start"":9.0,""end"":14.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":1.089},{""day"":3,""kind"":""rest"",""start"":16.0,""end"":22.0,""at_home"":true},{""day"":4,""kind"":""sleep"",""start"":0.0,""end"":6.5,""at_home"":true},{""day"":4,""kind"":""social"",""start"":9.0,""end"":14.0,""at_home"":false,""destination_x"":12000,""destination_y"":8000,""commute_hours"":1.089},{""day"":4,""kind"":""rest"",""start"":16.0,""end"":22.0,""at_home"":true},{""day"":5,""kind"":""sleep"",""start"":0.0,""end"":6.5,""at_home"":true},{""day"":5,""kind"":""rest"",""start"":7.0,""end"":22.0,""at_home"":true},{""day"":6,""kind"":""sleep"",""start"":0.0,""end"":6.5,""at_home"":true},{""day"":6,""kind"":""rest"",""start"":7.0,""end"":22.0,""at_home"":true}]"
